=======================================================
frequent 1-itemsets		support
=======================================================
frozenset({'太阳'}) 0.009987707437000615
frozenset({'看看'}) 0.005019463224749027
frozenset({'台词'}) 0.0069145666871542714
frozenset({'木星'}) 0.020846138086457692
frozenset({'太空'}) 0.0069145666871542714
frozenset({'刘启'}) 0.005736529399713174
frozenset({'科学'}) 0.012855972136857201
frozenset({'算是'}) 0.0054292153247285395
frozenset({'国产电影'}) 0.005121901249743905
frozenset({'实在'}) 0.0053779963122311
frozenset({'选择'}) 0.00645359557467732
frozenset({'个人'}) 0.015109608686744519
frozenset({'电影院'}) 0.012190124974390494
frozenset({'知道'}) 0.011063306699446834
frozenset({'刘慈欣'}) 0.016031550911698424
frozenset({'觉得'}) 0.03534111862323294
frozenset({'煽情'}) 0.010858430649457079
frozenset({'地方'}) 0.010141364474492931
frozenset({'水军'}) 0.007836508912108174
frozenset({'牺牲'}) 0.006197500512190125
frozenset({'情节'}) 0.012292562999385371
frozenset({'评论'}) 0.013112067199344397
frozenset({'大片'}) 0.019565662774021716
frozenset({'看过'}) 0.019155910674042206
frozenset({'穿越'}) 0.00968039336201598
frozenset({'宇宙'}) 0.008348699037082566
frozenset({'科幻片'}) 0.04696783446015161
frozenset({'可能'}) 0.013880352386805982
frozenset({'没有'}) 0.06013112067199344
frozenset({'镜头'}) 0.005019463224749027
frozenset({'东西'}) 0.00594140544970293
frozenset({'设定'}) 0.015314484736734276
frozenset({'期待'}) 0.008451137062077443
frozenset({'不够'}) 0.005685310387215734
frozenset({'战狼'}) 0.0059926244622003685
frozenset({'逻辑'}) 0.008707232124564639
frozenset({'豆瓣'}) 0.02525097316123745
frozenset({'需要'}) 0.007119442737144028
frozenset({'科幻'}) 0.094960049170252
frozenset({'空间站'}) 0.007785289899610736
frozenset({'水平'}) 0.005582872362220857
frozenset({'场景'}) 0.008246261012087686
frozenset({'观众'}) 0.011473058799426348
frozenset({'时间'}) 0.006402376562179881
frozenset({'鼓励'}) 0.005736529399713174
frozenset({'电影'}) 0.23673427576316328
frozenset({'评分'}) 0.014341323499282934
frozenset({'不会'}) 0.007682851874615857
frozenset({'现在'}) 0.00911698422454415
frozenset({'儿子'}) 0.005531653349723417
frozenset({'理解'}) 0.0050706822372464655
frozenset({'未来'}) 0.00758041384962098
frozenset({'感受'}) 0.006607252612169637
frozenset({'值得'}) 0.008297480024585127
frozenset({'国家'}) 0.0050706822372464655
frozenset({'人类'}) 0.03493136652325343
frozenset({'评价'}) 0.010858430649457079
frozenset({'希望'}) 0.01997541487400123
frozenset({'情感'}) 0.006863347674656833
frozenset({'片子'}) 0.016390083999180495
frozenset({'原著'}) 0.029297275148535137
frozenset({'朋友'}) 0.006043843474697808
frozenset({'灾难'}) 0.007324318787133784
frozenset({'看到'}) 0.022792460561360375
frozenset({'作品'}) 0.012343782011882812
frozenset({'春节'}) 0.009014546199549273
frozenset({'票房'}) 0.011165744724441713
frozenset({'吴京'}) 0.022894898586355256
frozenset({'流浪'}) 0.12097930751895103
frozenset({'中国'}) 0.13071091989346445
frozenset({'主角'}) 0.00921942224953903
frozenset({'有点'}) 0.016851055111657447
frozenset({'地球'}) 0.2258758451137062
frozenset({'剧情'}) 0.038567916410571605
frozenset({'题材'}) 0.00701700471214915
frozenset({'基本'}) 0.006146281499692686
frozenset({'拯救'}) 0.013163286211841835
frozenset({'发现'}) 0.0057877484122106125
frozenset({'黑子'}) 0.00650481458717476
frozenset({'问题'}) 0.012651096086867444
frozenset({'爱国'}) 0.005326777299733661
frozenset({'影院'}) 0.006043843474697808
frozenset({'国产'}) 0.026633886498668307
frozenset({'三体'}) 0.011473058799426348
frozenset({'演员'}) 0.011677934849416103
frozenset({'人物'}) 0.012753534111862324
frozenset({'观影'}) 0.008758451137062077
frozenset({'计划'}) 0.008451137062077443
frozenset({'背景'}) 0.007682851874615857
frozenset({'出来'}) 0.013573038311821347
frozenset({'部分'}) 0.0076316328621184185
frozenset({'作者'}) 0.00594140544970293
frozenset({'内容'}) 0.0050706822372464655
frozenset({'发动机'}) 0.009577955337021103
frozenset({'感情'}) 0.005275558287236222
frozenset({'导演'}) 0.01183159188690842
frozenset({'剧本'}) 0.005224339274738783
frozenset({'支持'}) 0.005019463224749027
frozenset({'制作'}) 0.008195041999590248
frozenset({'画面'}) 0.009321860274533907
frozenset({'影评'}) 0.01567301782421635
frozenset({'只能'}) 0.005890186437205491
frozenset({'震撼'}) 0.008246261012087686
frozenset({'感觉'}) 0.022126613398893668
frozenset({'演技'}) 0.009885269412005737
frozenset({'应该'}) 0.014187666461790616
frozenset({'影片'}) 0.023304650686334766
frozenset({'认为'}) 0.00758041384962098
frozenset({'不能'}) 0.01131940176193403
frozenset({'文化'}) 0.005685310387215734
frozenset({'美国'}) 0.01239500102438025
frozenset({'方面'}) 0.0067096906371645155
frozenset({'感动'}) 0.005326777299733661
frozenset({'一星'}) 0.005019463224749027
frozenset({'小说'}) 0.021716861298914158
frozenset({'故事'}) 0.02530219217373489
frozenset({'世界'}) 0.013112067199344397
frozenset({'细节'}) 0.009321860274533907
frozenset({'好莱坞'}) 0.020077852898996107
frozenset({'大家'}) 0.01244622003687769
frozenset({'改编'}) 0.0067096906371645155
frozenset({'灾难片'}) 0.005736529399713174
frozenset({'看完'}) 0.005326777299733661
frozenset({'上映'}) 0.00758041384962098
frozenset({'五星'}) 0.008451137062077443
frozenset({'好看'}) 0.009373079287031346
frozenset({'出现'}) 0.0059926244622003685
frozenset({'孩子'}) 0.006146281499692686
frozenset({'星际'}) 0.010499897561975006
